iter	RMSE
135	481.6832706
136	476.2661025
137	469.5839147
138	464.4517526
139	459.5055364
140	454.3457512
141	448.0130405
142	442.2428886
143	436.0860999
144	430.832326
145	425.8281313
146	421.3960543
147	416.3628905
148	411.2303881
149	407.6332747
150	403.3388333
151	398.711374
152	394.4867252
153	390.8500115
154	386.1805096
155	381.7871994
156	377.0820399
157	373.3147487
158	368.9662698
159	365.2530806
160	361.8608224
161	356.7306649
162	352.6143223
163	348.2371192
164	344.5576931
165	339.8356485
166	336.3884922
167	332.0053718
168	329.2508026
169	324.686056
170	320.7630955
171	318.0621391
172	314.2454459
173	311.6954878
174	309.1579825
175	305.65215317176	303.10273177177	300.70565178178	297.59279179179	295.23398180180	292.75792181181	288.88830182	372.2019931
183	367.6408635
18184	280.28051018185	276.91892418186	274.614221187	350.1457624
188	345.9600453
189	341.8720388
190	337.5694521
191	333.4300601
192	329.4776197
193	325.5456822
194	321.6956497
195	317.9380284
196	314.2156498
197	310.5242026
198	306.834448
199	303.1996424
200	299.6051166
201	295.8386512
202	292.27548192203	288.61035412204	285.23784672205	281.85930292206	278.4118971207	222.523455
208	219.5287067
209	216.5471591
210	214.1888959
211	211.5606659
212	210.0435693
213	207.0912526
214	204.3215598
215	201.7819744
216	200.1370917
217	198.7718174
218	196.8928564
219	195.5197277
220	193.3731903
221	191.1699768
222	188.4809406
223	185.95293522224	183.4923312
225	181.3899885
226	179.0505804
227	176.9505848
228	175.7482179
229	173.3755501
230	171.1561945
231	168.8745716
232	167.3929403
233	165.1772396
234	163.0948568
235	160.7529028
236	158.7995781
237	157.3950397
238	155.5048557
239	153.4743688
240	151.7263339
241	150.3670341
242	148.4183871
243	146.5385025
244	145.0162324
245	143.8957233
246	142.5138553
247	140.8302147
248	139.3972613
249	138.0682023
250	136.5687013
251	134.6462603
252	133.0332937
253	131.655972
254	129.8183379
255	128.9638133
256	127.1732734
257	125.6534804
258	124.1280184
259	122.5967076
260	121.1722944
261	120.4044107
262	119.5802185
263	118.0984232
264	116.5610374
265	114.9913398
266	1266	127.54267	11267	126.9268	111268	125.2728379
269	123.4481691
270	121.7470534
271	120.6713241
272	119.1872052
273	118.6652623
274	117.2425178
275	115.858358
276	114.8654529
277	113.6617419
278	113.0819396
279	111.4367831
280	109.9806444
281	108.2882902
282	107.0505359
283	106.5134053
284	105.8022328
285	104.1827232
286	103.5029437
287	102.1564688
288	100.5741736
289	99.38797073
290	98.46804355
291	97.36127647
292	96.33292402
293	95.21208455
294	93.89561586
295	92.58349413
296	91.659439
297	90.75820764
298	89.95801244
299	89.41082602
300	88.26616451
301	87.46883463
302	87.14332549
303	86.70470841
304	85.75412812
305	84.66406125
306	83.65071915
307	83.1971758
308	82.13252586
309	81.04437992
310	79.96022943
311	79.02081973
312	77.96658776
313	76.88993512
314	76.06781083
315	75.204316	67.36603491
317	66.60914577
318	66.21681924
319	65.39431762
320	64.69997333
321	64.08448269
322	63.40656998
323	62.7044777
324	62.13278052
325	61.33270445
326	61.17172665
327	60.58379921
328	60.08137062
329	59.45161167
330	58.96479175
331	58.33643484
332	57.78218071
333333	61.52318035
334	60.60277481
335	60.24876157
336	59.47561741
337	58.83595135
338	58.05086656
339	57.42457985
340	56.69505538
341	55.96423192
342	55.23818309
343	54.47525395
344	53.76651378
345	53.1192239
346	52.5675361
347	52.27896013
348	52.06611116
349	51.53898416
350	51.05060066
351	50.52772142
352	50.29729304
353	49.49109296
354	48.96620104
355	48.31891295
356	48.18057491
357	47.6245963
358	46.86866016
359	46.25606312
360	45.79086758
361	45.25533377
362	44.6037052
363	44.02332745
364	43.6273308
365	43.07215918
366	42.67468171
367	42.1541211
368	41.54510639
369	41.1386165
370	40.73482583
371	40.59262522
372	40.19860855
373	39.72047483
374	39.21251928
375	38.73172124
376	38.3863692
377	37.89930719
378	37.45022915
379	37.28345378
380	37.16726279
381	36.72126308
382	36.23518333
383	35.89310019
384	35.45119263
385	35.2653639
386	34.88253113
387	34.45921083
388	34.32662025
389	33.94495417
390	33.85094824
391	33.67875399
392	33.20387005
393	32.77761166
394	32.59980883
395	32.25116699
396	31.81296558
397	31.62332464
398	31.42580906
399	31.10921706
